
[00:00:00.000 --> 00:00:10.000]   [BLANK_AUDIO]
[00:00:30.000 --> 00:00:40.000]   [BLANK_AUDIO]
[00:01:00.000 --> 00:01:10.000]   [BLANK_AUDIO]
[00:01:30.000 --> 00:01:40.000]   [BLANK_AUDIO]
[00:02:00.000 --> 00:02:10.000]   [BLANK_AUDIO]
[00:02:30.000 --> 00:02:40.000]   [BLANK_AUDIO]
[00:03:00.000 --> 00:03:10.000]   [BLANK_AUDIO]
[00:03:30.000 --> 00:03:40.000]   [BLANK_AUDIO]
[00:04:00.000 --> 00:04:10.000]   [BLANK_AUDIO]
[00:04:30.000 --> 00:04:40.000]   [BLANK_AUDIO]
[00:05:00.000 --> 00:05:10.000]   [BLANK_AUDIO]
[00:05:30.000 --> 00:05:40.000]   [BLANK_AUDIO]
[00:06:00.000 --> 00:06:10.000]   [BLANK_AUDIO]
[00:06:30.000 --> 00:06:40.000]   [BLANK_AUDIO]
[00:07:00.000 --> 00:07:10.000]   [BLANK_AUDIO]
[00:07:30.000 --> 00:07:40.000]   [BLANK_AUDIO]
[00:07:40.000 --> 00:07:50.000]   [BLANK_AUDIO]
[00:08:10.000 --> 00:08:20.000]   [BLANK_AUDIO]
[00:08:40.000 --> 00:08:50.000]   [BLANK_AUDIO]
[00:08:50.000 --> 00:09:00.000]   [BLANK_AUDIO]
[00:09:20.000 --> 00:09:30.000]   [BLANK_AUDIO]
[00:09:30.000 --> 00:09:36.000]   [BLANK_AUDIO]
[00:09:36.000 --> 00:09:37.000]   Start.
[00:09:37.000 --> 00:09:43.000]   [BLANK_AUDIO]
[00:09:43.000 --> 00:09:53.000]   [BLANK_AUDIO]
[00:09:53.000 --> 00:09:59.000]   [BLANK_AUDIO]
[00:09:59.000 --> 00:10:20.000]   [BLANK_AUDIO]
[00:10:20.000 --> 00:10:24.000]   Thank you.
[00:10:24.000 --> 00:10:34.000]   Before continuing this evening, I would like to remind everyone in attendance that this is a time and place for deliberation through which the Board of Trustees conduct the business of this school district.
[00:10:34.000 --> 00:10:45.000]   As the presiding officer, I expect all those in attendance to behave with the quorum given all those present, including trustees, district administrators, and members of the public, their attention and respect.
[00:10:45.000 --> 00:10:53.000]   First one to the Texas Open Meeting Act, the Board has designated a time during today's meeting in which individuals have the opportunity to address the Board.
[00:10:53.000 --> 00:11:01.000]   Comments from those in attendance are not permitted outside of the specified public comment period as as we dropped.
[00:11:01.000 --> 00:11:14.000]   The ability of the Board to conduct the business of the district, if after at least one warning from the presiding officer any individual continues to disrupt the meeting by his or her words or actions.
[00:11:14.000 --> 00:11:30.000]   The presiding officer may request a system from law enforcement officials to to have the individual removed from the meeting.
[00:11:30.000 --> 00:11:35.000]   The Board shall not tolerate disruptions of the meeting by members of the audience.
[00:11:35.000 --> 00:11:44.000]   Now, we will have the U.S. and Texas pledges tonight were honored to have the students from timber line elementary school join us to lead the pledges.
[00:11:44.000 --> 00:11:55.000]   They will proudly represent their school by leading the U.S. pledge, follow by the Texas pledge and then share thoughts on how they are progressing towards the portrait of the graduate.
[00:12:05.000 --> 00:12:10.000]   Good evening.
[00:12:10.000 --> 00:12:18.000]   We are fifth graders in the two-way dual language program at timber line elementary school. Please stand for the pledges.
[00:12:18.000 --> 00:12:34.000]   I pledge allegiance to the flag of the United States of America and to the Republic for which it stands, one nation under God, indivisible with liberty and justice for all.
[00:12:34.000 --> 00:12:46.000]   I honor the Texas flag. I pledge allegiance to the Texas, one state under God, one indivisible.
[00:12:46.000 --> 00:13:04.000]   Tonight, we are excited to share with you a little about how the G.C.I.S.D. portrait of a graduate is at work at timber line together together.
[00:13:04.000 --> 00:13:13.000]   We are leaders at timber line by practicing the seven habits we read love learning embrace diversity achieve goals and do our best.
