
[00:00:00.000 --> 00:00:24.280]   We will call the meeting to order at 5.45 on October 24, 2022, for the special meeting.
[00:00:24.280 --> 00:00:26.440]   All trustees are here.
[00:00:26.440 --> 00:00:35.120]   Next item on the agenda is public comment.
[00:00:35.120 --> 00:00:42.760]   Next on the agenda is the public comment, while public comment is an opportunity for individuals
[00:00:42.760 --> 00:00:48.320]   to directly address the Board of Trustees, it is the limited form, individuals wishing to participate
[00:00:48.320 --> 00:00:52.600]   must complete the request to speak form and submit it to the executive director of communications
[00:00:52.600 --> 00:00:56.800]   Nicole Lyons at least 15 minutes prior to the start of the meeting.
[00:00:56.800 --> 00:01:00.600]   By completing the request to speak form, each speaker has acknowledged they will abide
[00:01:00.600 --> 00:01:05.560]   by the decorum protocols stated on such form.
[00:01:05.560 --> 00:01:09.420]   Pursuant to Board operating procedures, the Board has allotted 30 minutes for public comment
[00:01:09.420 --> 00:01:13.720]   period, but the time might be adjusted at the Board President's discretion to allow for
[00:01:13.720 --> 00:01:16.840]   the orderly conduct of the Board's meeting.
[00:01:16.840 --> 00:01:24.000]   For this section of the meeting, which is public comment on the special meeting, we will
[00:01:24.000 --> 00:01:28.360]   have three speakers, three minutes each.
[00:01:28.360 --> 00:01:32.160]   If groups wish to speak on the same topic, the Board may ask but is not required that
[00:01:32.160 --> 00:01:34.840]   a spokesperson be appointed to speak for the group.
[00:01:34.840 --> 00:01:39.080]   This is not the form to present allegations of employee misconduct, requests for employee
[00:01:39.080 --> 00:01:44.480]   discipline, lodging personal attacks, shaming, demeaning specific name GCISD employees,
[00:01:44.480 --> 00:01:49.880]   or unnecessarily disclosing private information about GCISD employees or students.
[00:01:49.880 --> 00:01:54.080]   The Board will only consider personnel or student complaints that remain unresolved after
[00:01:54.080 --> 00:01:57.560]   they have been addressed through the grievance process and when they have been placed
[00:01:57.560 --> 00:02:00.200]   on the Board agenda for hearing or action.
