
[00:00:00.000 --> 00:00:10.000]   [BLANK_AUDIO]
[00:00:30.000 --> 00:00:40.000]   [BLANK_AUDIO]
[00:01:00.000 --> 00:01:10.000]   [BLANK_AUDIO]
[00:01:30.000 --> 00:01:40.000]   [BLANK_AUDIO]
[00:02:00.000 --> 00:02:10.000]   [BLANK_AUDIO]
[00:02:30.000 --> 00:02:40.000]   [BLANK_AUDIO]
[00:03:00.000 --> 00:03:10.000]   [BLANK_AUDIO]
[00:03:30.000 --> 00:03:40.000]   [BLANK_AUDIO]
[00:04:00.000 --> 00:04:10.000]   [BLANK_AUDIO]
[00:04:30.000 --> 00:04:40.000]   [BLANK_AUDIO]
[00:05:00.000 --> 00:05:10.000]   [BLANK_AUDIO]
[00:05:30.000 --> 00:05:40.000]   [BLANK_AUDIO]
[00:05:40.000 --> 00:05:49.000]   Good evening, we will call this regular scheduled meeting of the Greatman College Board of Trustees to order on February 23rd at 5.30 pm.
[00:05:49.000 --> 00:05:55.840]   At this time, the Greatman College Board of Trustees in Central Administration will pause for
[00:05:55.840 --> 00:06:05.840]   a moment of silence to reflect on the continued successes of our district, the safety and well being of our students, our dedicated teachers and staff and our supportive community.
[00:06:05.840 --> 00:06:20.840]   [BLANK_AUDIO]
[00:06:20.840 --> 00:06:27.840]   Thank you all for being here this evening. Tonight is the time and place for Board of Trustees to conduct the business of the school district.
[00:06:27.840 --> 00:06:31.840]   We ask that all in attendance give everyone their attention and respect.
[00:06:31.840 --> 00:06:42.840]   There's a specified public comment period for those in attendance to address the board, but we ask that you do not make comments outside of this time period as it disrupts the ability of the board to conduct the business of the district.
[00:06:42.840 --> 00:06:57.840]   Are there any materials need to be distributed to the board? Please see board clerk Deanna Howard. If after at least one morning any individual continues to disrupt the meeting, we may request assistance from law enforcement officials to have the individual removed from the meeting.
[00:06:57.840 --> 00:07:01.840]   Thank you again for your participation in cooperation this evening.
[00:07:01.840 --> 00:07:06.840]   Tonight, we're honored to have our swim and dive state qualifiers join us to lead the pledges.
[00:07:06.840 --> 00:07:11.840]   They will proudly represent their team by leading us in the U.S. Pledge followed by the Texas Pledge.
[00:07:11.840 --> 00:07:16.840]   After the pledges, we will ask these students to please remain here for our first recognition tonight.
[00:07:16.840 --> 00:07:45.840]   I pledge allegiance to the flag of the United States of America and to the Republic for which it stands, one nation, and the God, and the invisible liberty, and justice for all.
[00:07:45.840 --> 00:08:08.840]   I pledge allegiance to the Texas one state, and the God, and the invisible.
[00:08:08.840 --> 00:08:14.840]   Thank you so much, students. Now, I'd like to turn the meeting over to Mr. Demasters for recognition.
[00:08:14.840 --> 00:08:33.840]   In alignment with the GCISD's priority, one of student achievement and post-secondary preparedness, we're excited to recognize students and staff this evening who support the performance objective of student involvement.
[00:08:33.840 --> 00:08:49.840]   I'd like to invite Trustee Diana Sagar to the front to recognize our first group of students this evening.
[00:08:49.840 --> 00:09:10.840]   These are our swim and dive state qualifiers, grapevine High School and Colleville Heritage High School Swimmers and Divers competed at the U.I.L. Phi Bay State Swim Meet on February 19th through the 21st at the Lee and Joe Jamail Texas swimming center at the University of Texas and Austin.
[00:09:10.840 --> 00:09:27.840]   These student athletes qualified following their performance at the U.I.L. Region 2, Phi Bay Swim and Dive Championship, were the grapevine High School girls team won the regional title, and the Colleville Heritage High School girls team finished as the runner-up.
[00:09:27.840 --> 00:09:49.840]   Aidan Tokarski returned from the state meet with two gold medals and the two hundred and five hundred meter freestyle. Congratulations to the following athletes, first from Colleville Heritage High School State Qualifying Swimmers.
[00:09:49.840 --> 00:10:00.840]   Isabel Jackson.
[00:10:00.840 --> 00:10:19.840]   Anna Lowe.
[00:10:19.840 --> 00:10:32.840]   Bailey Scott.
