
[00:00:00.000 --> 00:00:10.000]   [BLANK_AUDIO]
[00:00:30.000 --> 00:00:40.000]   [BLANK_AUDIO]
[00:01:00.000 --> 00:01:10.000]   [BLANK_AUDIO]
[00:01:30.000 --> 00:01:40.000]   [BLANK_AUDIO]
[00:02:00.000 --> 00:02:10.000]   [BLANK_AUDIO]
[00:02:30.000 --> 00:02:40.000]   [BLANK_AUDIO]
[00:03:00.000 --> 00:03:10.000]   [BLANK_AUDIO]
[00:03:30.000 --> 00:03:40.000]   [BLANK_AUDIO]
[00:04:00.000 --> 00:04:10.000]   [BLANK_AUDIO]
[00:04:30.000 --> 00:04:40.000]   [BLANK_AUDIO]
[00:05:00.000 --> 00:05:10.000]   [BLANK_AUDIO]
[00:05:30.000 --> 00:05:40.000]   [BLANK_AUDIO]
[00:06:00.000 --> 00:06:10.000]   [BLANK_AUDIO]
[00:06:30.000 --> 00:06:40.000]   [BLANK_AUDIO]
[00:06:40.000 --> 00:06:44.000]   [BLANK_AUDIO]
[00:06:44.000 --> 00:06:50.000]   All right, we will call the special meeting order on December 19, 2022 at 501.
[00:06:50.000 --> 00:06:52.000]   All trustees are here.
[00:06:52.000 --> 00:06:54.000]   Next subject on the agenda is public comment.
[00:06:54.000 --> 00:06:55.000]   Can you hear me?
[00:06:55.000 --> 00:06:56.000]   Yeah, okay.
[00:06:56.000 --> 00:06:59.000]   Next on the agenda is public comment period for our board meeting.
[00:06:59.000 --> 00:07:02.480]   To directly address the Board of Trustees, it is a limited forum.
[00:07:02.480 --> 00:07:11.520]   Individuals wishing to participate must complete the request to speak form and submit it to the executive director of communications Nicole Lyons at least 15 minutes prior to the start of the meeting.
[00:07:11.520 --> 00:07:18.520]   By completing the request to speak form, each speaker has acknowledged they will abide by the decorum protocols stated on such form.
[00:07:18.520 --> 00:07:28.960]   Purserant pursuant to the board operating procedures, the board has allotted 30 minutes for public comment period, but the time may be adjusted at the board president's discretion to allow for the orderly conduct of the board meeting.
[00:07:28.960 --> 00:07:38.960]   Generally, there's a three minute time limit on individual presentations, however, the board has received one request for this meeting, so this speaker will have three minutes.
[00:07:38.960 --> 00:07:46.960]   If groups wish to speak on the same topic, the board may ask, but is not required that a spokesperson be appointed to speak for the group.
[00:07:46.960 --> 00:07:57.960]   This is not the form to present allegations of employee misconduct, requests for employee discipline, lodging personal attacks, shaming, demeaning specific named GCISD employees, or unnecessarily disclosing private information.
[00:07:57.960 --> 00:08:06.960]   The board will only consider personnel or student complaints that remain unresolved after they have been addressed through the grievance process.
[00:08:06.960 --> 00:08:17.960]   And when they have been placed on the board agenda for hearing or action, please see GCISD board policies, board policies, DBA, employee, FNG students and families and GF public.
[00:08:17.960 --> 00:08:24.960]   These policies are designed to secure prompt and equitable resolution of complaints and concerns by allowing for a full hearing and investigation.
[00:08:24.960 --> 00:08:29.960]   Each of these procedures allows for an individual to redress grievances with the board of trustees.
[00:08:29.960 --> 00:08:36.960]   Upon request, our executive director of communications will provide you with copies of these policies, or you can find them online at the district website.
[00:08:36.960 --> 00:08:47.960]   In accordance with the Texas Open Meetings Act, the board may not deliberate or decide any subject that is not included on the meeting's agenda and may not respond to comments made or questions asked during the public comment period.
[00:08:47.960 --> 00:08:54.960]   If an issue mentioned is listed on tonight's agenda, board members may respond to comments when the agenda item is considered later in the meeting.
[00:08:54.960 --> 00:09:01.960]   Please understand that allowing speakers to make statements during the public comment period is not an endorsement of these statements by the board or the district.
[00:09:01.960 --> 00:09:08.960]   The statements may have been individual speaker or the opinion of that speaker and not necessarily the opinion of the board individual trustees or the district.
[00:09:08.960 --> 00:09:12.960]   We will call persons to speak in the order we receive their forms.
