
[00:00:00.000 --> 00:00:10.000]   [BLANK_AUDIO]
[00:00:30.000 --> 00:00:39.000]   [BLANK_AUDIO]
[00:01:00.000 --> 00:01:10.000]   [BLANK_AUDIO]
[00:01:30.000 --> 00:01:40.000]   [BLANK_AUDIO]
[00:02:00.000 --> 00:02:10.000]   [BLANK_AUDIO]
[00:02:30.000 --> 00:02:40.000]   [BLANK_AUDIO]
[00:03:00.000 --> 00:03:10.000]   [BLANK_AUDIO]
[00:03:30.000 --> 00:03:40.000]   [BLANK_AUDIO]
[00:04:00.000 --> 00:04:10.000]   [BLANK_AUDIO]
[00:04:30.000 --> 00:04:40.000]   [BLANK_AUDIO]
[00:04:40.000 --> 00:04:59.000]   [BLANK_AUDIO]
[00:04:59.000 --> 00:05:07.000]   Good evening, we will call this regular meeting of the GCIC Board of Trustees to order on April 22, 2024 at 5.30pm.
[00:05:07.000 --> 00:05:10.000]   All trustees are present.
[00:05:10.000 --> 00:05:14.000]   At this time, the great-born colleague of the Independent School District Board of Trustees and
[00:05:14.000 --> 00:05:19.000]   Central Administration will pause for a moment of silence to reflect on the continued successes of our
[00:05:19.000 --> 00:05:25.000]   district, the safety and well-being of our students, our dedicated teachers and staff and our supportive community.
[00:05:25.000 --> 00:05:40.000]   [BLANK_AUDIO]
[00:05:40.000 --> 00:05:42.000]   Thank you all for being here this evening.
[00:05:42.000 --> 00:05:47.000]   Tonight is the time and place for our Board of Trustees to conduct the business of the school district.
[00:05:47.000 --> 00:05:51.000]   We ask that all in attendance give everyone their attention and respect.
[00:05:51.000 --> 00:05:56.000]   There is a specified public comment period for those in attendance to address the board,
[00:05:56.000 --> 00:06:02.000]   but we ask that you do not make comments outside of this time period as it disrupts the ability of the board to conduct the business of the district.
[00:06:02.000 --> 00:06:07.000]   If any materials need to be distributed to the board, please see the board clerk Stephanie Hepton-Stahl.
[00:06:07.000 --> 00:06:11.000]   But after at least one morning any individual continues to disrupt the meeting,
[00:06:11.000 --> 00:06:16.000]   we may request assistance from law enforcement officials to have the individual removed from the meeting.
[00:06:16.000 --> 00:06:20.000]   Thank you again for your participation and cooperation this evening.
