
[00:00:00.000 --> 00:00:10.000]   [BLANK_AUDIO]
[00:00:30.000 --> 00:00:40.000]   [BLANK_AUDIO]
[00:01:00.000 --> 00:01:10.000]   [BLANK_AUDIO]
[00:01:30.000 --> 00:01:40.000]   [BLANK_AUDIO]
[00:02:00.000 --> 00:02:10.000]   [BLANK_AUDIO]
[00:02:30.000 --> 00:02:40.000]   [BLANK_AUDIO]
[00:03:00.000 --> 00:03:10.000]   [BLANK_AUDIO]
[00:03:30.000 --> 00:03:45.000]   [BLANK_AUDIO]
[00:03:45.000 --> 00:03:51.000]   [BLANK_AUDIO]
[00:03:51.000 --> 00:03:55.600]   Good evening, we will call this meeting of the great Bank of Louisville ISD Board of Trustees
[00:03:55.600 --> 00:04:00.600]   to order on February 26, 2024, at 5.30 PM.
[00:04:00.600 --> 00:04:04.600]   At this time, the great Bank of Louisville Independent School District of Trustees
[00:04:04.600 --> 00:04:09.000]   and Central Administration will pause for moment of silence to reflect on the continued success
[00:04:09.000 --> 00:04:14.240]   for our district, the safety and well-being of our students, our dedicated teachers and staff,
[00:04:14.240 --> 00:04:15.520]   and our supportive community.
[00:04:25.600 --> 00:04:35.600]   [BLANK_AUDIO]
[00:04:35.600 --> 00:04:36.600]   Thank you.
[00:04:36.600 --> 00:04:39.600]   Thank you for all being here this evening.
[00:04:39.600 --> 00:04:44.600]   Tonight is the time and place for our Board of Trustees to conduct the business of the school district.
[00:04:44.600 --> 00:04:48.600]   We ask that all in attendance give everyone their attention and respect.
[00:04:48.600 --> 00:04:52.600]   There is a specified public comment period for those in attendance to address the board,
[00:04:52.600 --> 00:04:59.600]   but we ask that you do not make comments outside of this time period as it disrupts the ability of the board to conduct the business of the district.
[00:04:59.600 --> 00:05:04.600]   If any materials need to be distributed to the board, please see the board clerk Stephanie Hepton-Stahl.
[00:05:04.600 --> 00:05:08.600]   If after at least one morning, any individual continues to disrupt the meeting,
[00:05:08.600 --> 00:05:14.600]   we may request assistance from law enforcement, officials to have the individual removed from the meeting.
[00:05:14.600 --> 00:05:17.600]   Thank you again for your participation in cooperation this evening.
[00:05:17.600 --> 00:05:23.600]   Now we will have the U.S. and Texas Pledge. Tonight we are honored to have the GCISD Swim and Dive State qualifiers.
[00:05:23.600 --> 00:05:25.600]   Join us to lead the pledges.
[00:05:25.600 --> 00:05:30.600]   They will proudly represent their team by leading the U.S. Pledge, followed by the Texas Pledge.
[00:05:30.600 --> 00:05:37.600]   After the pledges, we will ask these students to please remain here for our first recognition tonight.
[00:05:37.600 --> 00:05:49.600]   We will have to lead the United States of America and to the republic, our wishes stands on the nation under God.
[00:05:49.600 --> 00:05:54.600]   And we will give it a look for the liberty and justice for all.
[00:05:54.600 --> 00:06:23.600]   Thank you to our swimmers and divers. At this time, I would like to turn the meeting over to Superintendent Dr. Bradch.
[00:06:23.600 --> 00:06:28.600]   All right. Good evening, everyone. Thank you for being here for our first recognition tonight.
[00:06:28.600 --> 00:06:36.600]   I'd like to invite Trustee Tammy Nakamura to present the awards to our Swim and Dive State qualifiers.
[00:06:36.600 --> 00:06:44.600]   GCISD sent nine swimmers and divers to the U.L. State 5A meet this past weekend in Austin on February 22nd through 24th.
[00:06:44.600 --> 00:06:54.600]   The student athletes qualified for the state competition after earning individual and team honors at the regional level, such as, our caliber heritage high school girls will reach in two 5A champions.
[00:06:54.600 --> 00:07:00.600]   Margot Wheat from Greatmont High School's region diver of the year and she also plays fifth at the state meet.
[00:07:00.600 --> 00:07:04.600]   Coach Daniel Zhao, girl swim region coach of the year.
[00:07:04.600 --> 00:07:15.600]   Coach Stacy, Mary and Kachu, girls dive region coach of the year and Aidan Tokarski from CHHS set a new school record of 442.78 in the 500 free.
