
[00:00:00.000 --> 00:00:10.000]   [BLANK_AUDIO]
[00:00:30.000 --> 00:00:40.000]   [BLANK_AUDIO]
[00:01:00.000 --> 00:01:10.000]   [BLANK_AUDIO]
[00:01:30.000 --> 00:01:40.000]   [BLANK_AUDIO]
[00:02:00.000 --> 00:02:10.000]   [BLANK_AUDIO]
[00:02:30.000 --> 00:02:40.000]   [BLANK_AUDIO]
[00:03:00.000 --> 00:03:10.000]   [BLANK_AUDIO]
[00:03:30.000 --> 00:03:40.000]   [BLANK_AUDIO]
[00:03:40.000 --> 00:03:50.000]   [BLANK_AUDIO]
[00:03:50.000 --> 00:03:58.000]   [BLANK_AUDIO]
[00:03:58.000 --> 00:04:02.000]   [BLANK_AUDIO]
[00:04:02.000 --> 00:04:03.000]   Good evening.
[00:04:03.000 --> 00:04:09.000]   We will call this regular meeting of the Grant Bank Collegeville ISD Board of Testies to order on March 25, 2024,
[00:04:09.000 --> 00:04:11.000]   at 5.30 PM.
[00:04:11.000 --> 00:04:15.000]   At this time, the Grant Bank Collegeville Independent School District of Trustees and
[00:04:15.000 --> 00:04:21.000]   Central Admin will pause for a moment of silence to reflect on the continued successes of our district,
[00:04:21.000 --> 00:04:26.000]   the safety and well-being of our students are dedicated teachers and staff and our supportive community.
[00:04:26.000 --> 00:04:40.000]   [BLANK_AUDIO]
[00:04:40.000 --> 00:04:42.000]   Thank you.
[00:04:42.000 --> 00:04:44.000]   Thank you all for being here this evening.
[00:04:44.000 --> 00:04:50.000]   Tonight is the time and place for our Board of Trustees to conduct the business of the school district.
[00:04:50.000 --> 00:04:53.000]   We ask that all in attendance give everyone their attention and respect.
[00:04:53.000 --> 00:04:58.000]   There's a specified public comment period for those in attendance to address the board,
[00:04:58.000 --> 00:05:05.000]   but we ask that you do not make comments outside of this time period as it disrupts the ability of the board to conduct the business of the district.
[00:05:05.000 --> 00:05:10.000]   If any materials need to be distributed to the board, please see the board clerk Stephanie Hepton stall.
[00:05:10.000 --> 00:05:14.000]   If after at least one warning, any individual continues to disrupt the meeting,
[00:05:14.000 --> 00:05:20.000]   we may request assistance from law enforcement officials to have the individual removed from the meeting.
[00:05:20.000 --> 00:05:24.000]   Thank you again for your participation in cooperation this evening.
[00:05:24.000 --> 00:05:28.000]   Now we will have the US and Texas pledges tonight.
[00:05:28.000 --> 00:05:32.000]   We are honored to have Decca State champions join us to lead the pledges.
[00:05:32.000 --> 00:05:36.000]   They will proudly represent the organization by leading the US pledge followed by the Texas pledge.
[00:05:36.000 --> 00:05:42.000]   After the pledges, we ask that these students please remain here for our first recognition tonight.
[00:05:50.000 --> 00:05:53.000]   This is Rowan.
[00:05:53.000 --> 00:05:55.000]   Let's see that.
[00:05:55.000 --> 00:06:01.000]   On your Texas pledge, I pledge allegiance to the Texas One State.
[00:06:01.000 --> 00:06:04.000]   I know you're welcome.
[00:06:04.000 --> 00:06:23.000]   One State, I know you're welcome.
[00:06:23.000 --> 00:06:39.000]   Thank you to Decca, at this time, I'd like to turn the meeting over to Superintendent Dr. Bradch now for our recognitions.
[00:06:39.000 --> 00:06:46.000]   All right, for our first recognition tonight, I'd like to invite board secretary Kathy Spradley to present the awards to our Decca State champions.
[00:06:46.000 --> 00:06:55.000]   Colleville Heritage and Greatbound High Schools competed at the State, Decca Competition held February 15-17 in Houston, and nine returned its first place champions,
[00:06:55.000 --> 00:07:03.000]   a particularly difficult feat since the Texas chapters of the largest Decca association in the world with more than 19,000 members.
[00:07:03.000 --> 00:07:11.000]   Decca is a national student organization that prepares emerging leaders and entrepreneurs for careers in marketing, finance, hospitality, and management.
[00:07:11.000 --> 00:07:21.000]   At first place, as first place state winners, these students now advance to compete at Decca's international conference to be held April 27-30 in Anaheim, California,
