
[00:00:00.000 --> 00:00:10.000]   [BLANK_AUDIO]
[00:00:30.000 --> 00:00:53.000]   [BLANK_AUDIO]
[00:01:00.000 --> 00:01:10.000]   [BLANK_AUDIO]
[00:01:30.000 --> 00:01:40.000]   [BLANK_AUDIO]
[00:02:00.000 --> 00:02:10.000]   [BLANK_AUDIO]
[00:02:30.000 --> 00:02:40.000]   [BLANK_AUDIO]
[00:02:40.000 --> 00:02:58.000]   [BLANK_AUDIO]
[00:02:58.000 --> 00:03:02.000]   Good evening, we will call this regular meeting of the Great Bank College Board
[00:03:02.000 --> 00:03:08.000]   of Trustees to order on September 25th, 2023, at 5.30pm.
[00:03:08.000 --> 00:03:11.000]   We are missing Trustee St. John.
[00:03:11.000 --> 00:03:19.000]   [BLANK_AUDIO]
[00:03:19.000 --> 00:03:20.000]   Is it not on?
[00:03:20.000 --> 00:03:24.000]   [BLANK_AUDIO]
[00:03:24.000 --> 00:03:34.000]   [BLANK_AUDIO]
[00:03:34.000 --> 00:03:42.000]   Good evening, we will call this regular meeting of the Great Bank College Board of Trustees to order on September 25th, 2023 at 5.30pm.
[00:03:42.000 --> 00:03:45.000]   We are missing Trustee St. John.
[00:03:45.000 --> 00:03:53.000]   Thank you for all being here this evening, tonight is the time and place for our Board of Trustees to conduct the business of the school district.
[00:03:53.000 --> 00:03:57.000]   We ask that all the attendance give everyone their attention and respect.
[00:03:57.000 --> 00:04:08.000]   There's a specified public comment period for those in attendance to address the board, but we ask that you do not make comments outside of this time period as it disrupts the ability of their board to conduct the business of the district.
[00:04:08.000 --> 00:04:13.000]   If any materials need to be distributed to the board, please see the board clerk Stephanie Hepton-Stahl.
[00:04:13.000 --> 00:04:23.000]   At the after at least one morning in the individual continues to disrupt the meeting, we may request assistance from law enforcement officials to have the individual removed from the meeting.
[00:04:23.000 --> 00:04:28.000]   Thank you again for your participation this evening.
[00:04:28.000 --> 00:04:39.000]   At this time we'll have a moment of silence to reflect on the continued success for district, the safety and well-being of our students and dedicated teachers and staff and supportive community.
[00:04:39.000 --> 00:04:54.000]   Thank you.
[00:04:54.000 --> 00:05:00.000]   Now at this time, I have asked Trustee Seger to lead us today with our pledges, so if you would please rise.
[00:05:09.000 --> 00:05:19.000]   [BLANK_AUDIO]
[00:05:39.000 --> 00:05:43.000]   Thank you, Trustee Seger.
[00:05:43.000 --> 00:05:48.000]   We will now convene to the board workshop to review campus improvement plans.
[00:05:48.000 --> 00:06:01.000]   Just as a courtesy, this is part of our segment of last until about 6.45, possibly seven, so just for your, so that you know that it's going to take a minute.
[00:06:01.000 --> 00:06:04.000]   So we'll be back shortly.
[00:06:04.000 --> 00:06:11.000]   >> All right, Dr. Shabbard, do you mind leading us through kind of logistics of how the workshop will work?
[00:06:11.000 --> 00:06:14.000]   >> All right, good evening Board of Trustees.
[00:06:14.000 --> 00:06:20.000]   We are excited to present the campus improvement plans this evening.
[00:06:20.000 --> 00:06:22.000]   We are using a workshop format.
[00:06:22.000 --> 00:06:28.000]   We have a schedule for our board members to go in three, two, two groups.
[00:06:28.000 --> 00:06:41.000]   You will have the opportunity to move through each of the rooms in which we have our campus principals and members of our leadership team that will be presenting sections of the district improvement plan.
[00:06:41.000 --> 00:06:47.000]   What is most exciting about tonight that I hope you will appreciate as you are listening to our leaders present.
[00:06:47.000 --> 00:06:52.000]   You have recently adopted priorities and performance objectives for the district.
[00:06:52.000 --> 00:07:03.000]   You will have the opportunity to see those priorities and performance objectives really come to life through our campus improvement plans and through the district improvement plan.
[00:07:03.000 --> 00:07:15.000]   You will also have opportunity to see and it may be at your place to see an example of that district scorecard that we've been working on and talking about and also seeing how that is taking shape.
[00:07:15.000 --> 00:07:39.000]   So that we are able to see the alignment from the priorities that you've said as a Board to the action steps that we are taking as a district and on our campuses to make those identified improvements through the data that we have in order to support our students to succeed.
[00:07:39.000 --> 00:07:55.000]   We are going to have someone from the district leadership team to support you in your rotations through the sections this evening and to make sure that we stay on a timely manner and getting through our presentations.
[00:07:55.000 --> 00:08:12.000]   So who staying in here with which you're staying in here. We are not doing presentations in here. We will be rotating between the Alamo room, the gallery and the Tejas and we will make sure that you have escorts to get to each of those places.
[00:08:12.000 --> 00:08:28.000]   Okay, so we are journeying at 5.35.
[00:08:42.000 --> 00:09:07.000]   So we are going to have a very good time to see how we can get to the next one.
[00:09:07.000 --> 00:09:17.000]   So we are going to have a very good time to see how we can get to the next one.
[00:09:17.000 --> 00:09:45.000]   So we are going to have a very good time to see how we can get to the next one.
[00:09:45.000 --> 00:10:05.000]   So we are going to have a very good time to see how we can get to the next one.
[00:10:05.000 --> 00:10:31.000]   So we are going to have a very good time to see how we can get to the next one.
[00:10:31.000 --> 00:10:57.000]   So we are going to have a very good time to see how we can get to the next one.
[00:10:57.000 --> 00:11:25.000]   So we are going to have a very good time to see how we can get to the next one.
[00:11:25.000 --> 00:11:51.000]   So we are going to have a very good time to see how we can get to the next one.
[00:11:51.000 --> 00:12:17.000]   So we are going to have a very good time to see how we can get to the next one.
[00:12:17.000 --> 00:12:43.000]   So we are going to have a very good time to see how we can get to the next one.
[00:12:43.000 --> 00:13:09.000]   So we are going to have a very good time to see how we can get to the next one.
[00:13:09.000 --> 00:13:35.000]   So we are going to have a very good time to see how we can get to the next one.
[00:13:35.000 --> 00:14:03.000]   So we are going to have a very good time to see how we can get to the next one.
[00:14:03.000 --> 00:14:29.000]   So we are going to have a very good time to see how we can get to the next one.
[00:14:29.000 --> 00:14:57.000]   So we are going to have a very good time to see how we can get to the next one.
[00:14:57.000 --> 00:15:23.000]   So we are going to have a very good time to see how we can get to the next one.
[00:15:23.000 --> 00:15:51.000]   So we are going to have a very good time to see how we can get to the next one.
[00:15:51.000 --> 00:16:19.000]   So we are going to have a very good time to see how we can get to the next one.
[00:16:19.000 --> 00:16:47.000]   So we are going to have a very good time to see how we can get to the next one.
[00:16:47.000 --> 00:17:15.000]   So we are going to have a very good time to see how we can get to the next one.
[00:17:15.000 --> 00:17:43.000]   So we are going to have a very good time to see how we can get to the next one.
[00:17:43.000 --> 00:18:12.000]   So we are going to have a very good time to see how we can get to the next one.
[00:18:12.000 --> 00:18:40.000]   So we are going to have a very good time to see how we can get to the next one.
[00:18:40.000 --> 00:19:08.000]   So we are going to have a very good time to see how we can get to the next one.
[00:19:08.000 --> 00:19:36.000]   So we are going to have a very good time to see how we can get to the next one.
[00:19:36.000 --> 00:20:04.000]   So we are going to have a very good time to see how we can get to the next one.
[00:20:04.000 --> 00:20:32.000]   So we are going to have a very good time to see how we can get to the next one.
[00:20:32.000 --> 00:21:00.000]   So we are going to have a very good time to see how we can get to the next one.
[00:21:00.000 --> 00:21:28.000]   So we are going to have a very good time to see how we can get to the next one.
[00:21:28.000 --> 00:21:56.000]   So we are going to have a very good time to see how we can get to the next one.
[00:21:56.000 --> 00:22:24.000]   So we are going to have a very good time to see how we can get to the next one.
[00:22:24.000 --> 00:22:53.000]   So we are going to have a very good time to see how we can get to the next one.
[00:22:53.000 --> 00:23:21.000]   So we are going to have a very good time to see how we can get to the next one.
[00:23:21.000 --> 00:23:49.000]   So we are going to have a very good time to see how we can get to the next one.
[00:23:49.000 --> 00:24:17.000]   So we are going to have a very good time to see how we can get to the next one.
[00:24:17.000 --> 00:24:45.000]   So we are going to have a very good time to see how we can get to the next one.
[00:24:45.000 --> 00:25:13.000]   So we are going to have a very good time to see how we can get to the next one.
[00:25:13.000 --> 00:25:41.000]   So we are going to have a very good time to see how we can get to the next one.
[00:25:41.000 --> 00:26:09.000]   So we are going to have a very good time to see how we can get to the next one.
[00:26:09.000 --> 00:26:37.000]   So we are going to have a very good time to see how we can get to the next one.
[00:26:37.000 --> 00:27:05.000]   So we are going to have a very good time to see how we can get to the next one.
