
[00:00:30.000 --> 00:00:40.000]   [BLANK_AUDIO]
[00:01:00.000 --> 00:01:10.000]   [BLANK_AUDIO]
[00:01:30.000 --> 00:01:40.000]   [BLANK_AUDIO]
[00:02:00.000 --> 00:02:10.000]   [BLANK_AUDIO]
[00:02:10.000 --> 00:02:14.000]   [BLANK_AUDIO]
[00:02:14.000 --> 00:02:22.000]   [BLANK_AUDIO]
[00:02:22.000 --> 00:02:32.000]   [BLANK_AUDIO]
[00:02:32.000 --> 00:02:42.000]   [BLANK_AUDIO]
[00:02:42.000 --> 00:02:52.000]   [BLANK_AUDIO]
[00:03:12.000 --> 00:03:22.000]   [BLANK_AUDIO]
[00:03:22.000 --> 00:03:32.000]   [BLANK_AUDIO]
[00:03:32.000 --> 00:03:42.000]   [BLANK_AUDIO]
[00:03:42.000 --> 00:03:52.000]   [BLANK_AUDIO]
[00:03:52.000 --> 00:04:02.000]   [BLANK_AUDIO]
[00:04:02.000 --> 00:04:12.000]   [BLANK_AUDIO]
[00:04:12.000 --> 00:04:22.000]   [BLANK_AUDIO]
[00:04:22.000 --> 00:04:32.000]   [BLANK_AUDIO]
[00:04:32.000 --> 00:04:42.000]   [BLANK_AUDIO]
[00:04:42.000 --> 00:04:52.000]   [BLANK_AUDIO]
[00:04:52.000 --> 00:05:02.000]   [BLANK_AUDIO]
[00:05:02.000 --> 00:05:05.000]   [BLANK_AUDIO]
[00:05:05.000 --> 00:05:12.000]   Are we going to call the meeting to order at 5 p.m. for the special session on February 13, 2023.
[00:05:12.000 --> 00:05:15.000]   All trustees are here except for Jorge.
[00:05:15.000 --> 00:05:20.000]   We'll head on straight to public comment, Gabby.
[00:05:20.000 --> 00:05:23.000]   Next on the agenda is the public comment period of our board meeting.
[00:05:23.000 --> 00:05:28.000]   While public comment is an opportunity for individuals to directly address the Board of Trustees,
[00:05:28.000 --> 00:05:29.000]   it is a limited forum.
[00:05:29.000 --> 00:05:33.000]   Individuals wishing to participate must complete the request to speak for them and submit it
[00:05:33.000 --> 00:05:38.000]   to the executive director of communications and coal lions at least 15 minutes prior to the start of the meeting.
[00:05:38.000 --> 00:05:45.000]   By completing the request to speak form, each speaker has acknowledged they will abide by the decorum protocol stated on such form.
[00:05:45.000 --> 00:05:51.000]   This is a special meeting of the board pursuant to district policy, be ED local, persons who have signed up to speak during the public comment period.
[00:05:51.000 --> 00:05:56.000]   May only comment on items listed on the meetings posted agenda.
[00:05:56.000 --> 00:06:03.000]   Generally there, well, there's three minute time limit, and we have four speakers tonight, so each speaker will have three minutes.
[00:06:03.000 --> 00:06:11.000]   If groups wish to speak on the same topic, the board may ask, but does not require it that a spokesperson be appointed to speak for the group.
[00:06:11.000 --> 00:06:25.000]   This is not the forum to present allegations of employee misconduct, requests for employee discipline, lodging personal attacks, shaming, demeaning specific named GCISD employees, or unnecessarily disclosing private information about GCISD employees or students.
[00:06:25.000 --> 00:06:35.000]   The board will only consider personnel or student complaints that remain unresolved after they have been addressed to the grievance process, and when they have been placed on the board agenda for hearing or action.
[00:06:35.000 --> 00:06:42.000]   Please see GCISD board policies, DGPA, employee, FNG, students and families, and GF public.
