
[00:00:00.000 --> 00:00:10.000]   [BLANK_AUDIO]
[00:00:30.000 --> 00:00:40.000]   [BLANK_AUDIO]
[00:01:00.000 --> 00:01:10.000]   [BLANK_AUDIO]
[00:01:30.000 --> 00:01:40.000]   [BLANK_AUDIO]
[00:02:00.000 --> 00:02:10.000]   [BLANK_AUDIO]
[00:02:30.000 --> 00:02:40.000]   [BLANK_AUDIO]
[00:03:00.000 --> 00:03:10.000]   [BLANK_AUDIO]
[00:03:10.000 --> 00:03:36.000]   [BLANK_AUDIO]
[00:03:36.000 --> 00:03:41.480]   Good evening, we're now in open session, today's July 24, 2023.
[00:03:41.480 --> 00:03:45.120]   At this time, the Graybone College of Independent School District Board of Trustees and
[00:03:45.120 --> 00:03:50.480]   Central Administration will pause for a moment of silence to reflect on the continued successes
[00:03:50.480 --> 00:03:54.560]   of our district, the safety and well-being of our students, our dedicated teachers and
[00:03:54.560 --> 00:03:56.720]   staff and our supportive community.
[00:04:06.000 --> 00:04:11.000]   [BLANK_AUDIO]
[00:04:11.000 --> 00:04:14.400]   Thank you all for being here this evening, tonight is the time and place for
[00:04:14.400 --> 00:04:18.440]   Board of Trustees to conduct the business of the school district.
[00:04:18.440 --> 00:04:22.000]   We ask that all in attendance give everyone their attention and respect.
[00:04:22.000 --> 00:04:26.080]   There is a specified public comment period for those in attendance to address the board,
[00:04:26.080 --> 00:04:31.640]   but we ask that you do not make comments outside of this time period as it disrupts the ability
[00:04:31.640 --> 00:04:34.960]   of the board to conduct the business of the district.
[00:04:34.960 --> 00:04:38.920]   If any materials need to be distributed to the board, please see the board clerk.
[00:04:38.920 --> 00:04:40.720]   Stephanie, have been installed.
[00:04:40.720 --> 00:04:44.640]   After at least one morning, individual continues to disrupt the meeting.
[00:04:44.640 --> 00:04:49.960]   We may request assistance from law enforcement officials to have the individual removed from the meeting.
[00:04:49.960 --> 00:04:53.840]   Thank you again for your participation in cooperation this evening.
[00:04:53.840 --> 00:05:01.480]   Now we will do our U.S. and Texas pledges, tonight we have Vice President Mary Humphrey.
[00:05:01.480 --> 00:05:05.440]   She will lead us in the pledge followed by the Texas pledge.
[00:05:05.440 --> 00:05:11.480]   [BLANK_AUDIO]
[00:05:31.480 --> 00:05:58.520]   >> Thank you, Vice President Humphrey, moving on to our first item on the agenda.
[00:05:58.520 --> 00:06:02.000]   We now have announcements.
[00:06:02.000 --> 00:06:03.560]   We'll start over here with Diana.
[00:06:03.560 --> 00:06:16.200]   GCIC back to school fair will be held at 730 to 1030 AM on Saturday, August 5th at the Mustang Panther Stadium.
[00:06:16.200 --> 00:06:23.800]   We have 1,653 students registered in 500 more eligible this year, then last.
[00:06:23.800 --> 00:06:29.960]   We are grateful for the contributors of the grapevine women's, grapevine chamber women's division.
[00:06:29.960 --> 00:06:34.320]   Connect and so many others in this community that help serve these families.
[00:06:34.320 --> 00:06:39.440]   I also want to say that this morning, the retired teachers went and got all the books.
[00:06:39.440 --> 00:06:43.720]   730 this morning, we were hauling these big books over and worked at the P deck.
[00:06:43.720 --> 00:06:46.520]   I left at 1030, but they were still working till after 1, so.
[00:06:46.520 --> 00:06:52.160]   [BLANK_AUDIO]
[00:06:52.160 --> 00:06:56.680]   >> We're excited for welcome week, August 1st through the 3rd, the new educator luncheon,
[00:06:56.680 --> 00:07:02.840]   August 2nd, where sponsors and supporters throughout the community will welcome our new educators to GCISD.
[00:07:02.840 --> 00:07:06.440]   We're thankful to grapevine College of Education Foundation and as far as for
[00:07:06.440 --> 00:07:09.420]   their involvement in making this event a huge success every year.
[00:07:09.420 --> 00:07:16.120]   >> Season tickets for high school varsity football will be released in three phases.
