
[00:00:00.000 --> 00:00:08.200]   [BLANK_AUDIO]
[00:00:08.200 --> 00:00:18.200]   [BLANK_AUDIO]
[00:00:18.200 --> 00:00:28.200]   [BLANK_AUDIO]
[00:00:28.200 --> 00:00:37.200]   [BLANK_AUDIO]
[00:00:37.200 --> 00:00:44.200]   [BLANK_AUDIO]
[00:00:44.200 --> 00:00:54.200]   [BLANK_AUDIO]
[00:00:54.200 --> 00:01:04.200]   [BLANK_AUDIO]
[00:01:04.200 --> 00:01:14.200]   [BLANK_AUDIO]
[00:01:14.200 --> 00:01:18.200]   [BLANK_AUDIO]
[00:01:34.200 --> 00:01:44.200]   [BLANK_AUDIO]
[00:01:44.200 --> 00:01:54.200]   [BLANK_AUDIO]
[00:01:54.200 --> 00:02:04.200]   [BLANK_AUDIO]
[00:02:04.200 --> 00:02:14.200]   [BLANK_AUDIO]
[00:02:34.200 --> 00:02:44.200]   [BLANK_AUDIO]
[00:02:44.200 --> 00:02:54.200]   [BLANK_AUDIO]
[00:02:54.200 --> 00:03:04.200]   [BLANK_AUDIO]
[00:03:04.200 --> 00:03:14.200]   [BLANK_AUDIO]
[00:03:14.200 --> 00:03:24.200]   [BLANK_AUDIO]
[00:03:24.200 --> 00:03:34.200]   [BLANK_AUDIO]
[00:03:34.200 --> 00:03:44.200]   [BLANK_AUDIO]
[00:03:44.200 --> 00:03:54.200]   [BLANK_AUDIO]
[00:03:54.200 --> 00:04:04.200]   [BLANK_AUDIO]
[00:04:04.200 --> 00:04:14.200]   [BLANK_AUDIO]
[00:04:14.200 --> 00:04:24.200]   [BLANK_AUDIO]
[00:04:24.200 --> 00:04:24.200]   [BLANK_AUDIO]
[00:04:24.200 --> 00:04:24.200]   [BLANK_AUDIO]
[00:04:24.200 --> 00:04:25.200]   [BLANK_AUDIO]
[00:04:25.200 --> 00:04:28.200]   [BLANK_AUDIO]
[00:04:28.200 --> 00:04:30.200]   At this time, the Grayburne Colli-Velena put in
[00:04:30.200 --> 00:04:33.200]   its school board of trustees and central admin will pause
[00:04:33.200 --> 00:04:35.200]   for a moment of silence to reflect on the
[00:04:35.200 --> 00:04:37.200]   continued success of our district.
[00:04:37.200 --> 00:04:39.200]   The safety and well-being of our students are dedicated
[00:04:39.200 --> 00:04:41.200]   teachers and staff in our supportive community.
[00:04:41.200 --> 00:04:51.200]   [BLANK_AUDIO]
[00:04:51.200 --> 00:04:54.200]   [BLANK_AUDIO]
[00:04:54.200 --> 00:04:55.200]   Thank you.
[00:04:55.200 --> 00:05:01.200]   I would also like to point out that this is the July 29, 2024 meeting.
[00:05:01.200 --> 00:05:03.200]   Thank you all for being here this evening.
[00:05:03.200 --> 00:05:06.200]   Tonight is the time in place for a board of trustees to conduct
[00:05:06.200 --> 00:05:08.200]   the business of the school district.
[00:05:08.200 --> 00:05:11.200]   We ask that in attendance, give everyone their attention and
[00:05:11.200 --> 00:05:12.200]   respect.
[00:05:12.200 --> 00:05:14.200]   There's this specified public comment period for those
[00:05:14.200 --> 00:05:16.200]   in attendance to address the board.
[00:05:16.200 --> 00:05:20.200]   But we ask that you do not make comments outside of this time
[00:05:20.200 --> 00:05:23.200]   period as it disrupts the ability of the board to conduct
[00:05:23.200 --> 00:05:24.200]   the business of the district.
[00:05:24.200 --> 00:05:27.200]   If any materials need to be distributed to the board,
[00:05:27.200 --> 00:05:30.200]   please see the board clerk Stephanie Heppenstahl.
[00:05:30.200 --> 00:05:33.200]   After at least one morning in the individual continues to
[00:05:33.200 --> 00:05:36.200]   disrupt the meeting, we may request assistance from law
[00:05:36.200 --> 00:05:39.200]   enforcement officials to have the individual removed from
[00:05:39.200 --> 00:05:40.200]   the meeting.
[00:05:40.200 --> 00:05:42.200]   Thank you again for your participation in cooperation this
[00:05:42.200 --> 00:05:44.200]   evening.
[00:05:44.200 --> 00:05:47.200]   Now we will have the U.S. and Texas pledges tonight.
[00:05:47.200 --> 00:05:50.200]   Board Vice President Mary Humphrey will lead the pledges.
[00:05:50.200 --> 00:05:57.200]   [BLANK_AUDIO]
[00:05:57.200 --> 00:06:03.200]   [BLANK_AUDIO]
[00:06:03.200 --> 00:06:10.200]   [BLANK_AUDIO]
[00:06:10.200 --> 00:06:13.200]   [BLANK_AUDIO]
[00:06:34.200 --> 00:06:35.200]   Thank you Mary.
[00:06:35.200 --> 00:06:37.200]   She got selected for that because she's going to be
[00:06:37.200 --> 00:06:41.200]   leaving for the Olympics tomorrow in Paris.
[00:06:41.200 --> 00:06:44.200]   At this time, I would like to turn the meeting over to
[00:06:44.200 --> 00:06:47.200]   Superintendent Dr. Brad Schnouts for our recognitions.
[00:06:47.200 --> 00:06:48.200]   Thank you, President Braun.
[00:06:48.200 --> 00:06:51.200]   In alignment with GCSD's priority to a faculty and
[00:06:51.200 --> 00:06:54.200]   staff recruitment, retention and capacity building, and
[00:06:54.200 --> 00:06:57.200]   priority for a strong financial stewardship and internal
[00:06:57.200 --> 00:06:58.200]   system efficiency.
[00:06:58.200 --> 00:07:00.200]   We're excited to recognize a few of our exceptional
[00:07:00.200 --> 00:07:03.200]   employees this evening who support the performance objectives
[00:07:03.200 --> 00:07:06.200]   of employer retention and employee satisfaction and
[00:07:06.200 --> 00:07:08.200]   transparent financial stewardship.
[00:07:08.200 --> 00:07:11.200]   I'd like to invite Trustee Ajay Pontillo to the front for
[00:07:11.200 --> 00:07:13.200]   our first recognition this evening.
[00:07:13.200 --> 00:07:15.200]   [BLANK_AUDIO]
[00:07:15.200 --> 00:07:23.200]   So our first recognition tonight involves the TASSP 2024 2025
[00:07:23.200 --> 00:07:26.200]   outstanding middle school principal of the year for
[00:07:26.200 --> 00:07:31.200]   the 18th of July 2011 Mrs. Sheila Schimmick.
[00:07:31.200 --> 00:07:34.200]   [APPLAUSE]
[00:07:34.200 --> 00:07:36.200]   Congratulations to Heritage Middle School
[00:07:36.200 --> 00:07:39.200]   Principal Sheila Schimmick, who was named the 2024 2025
[00:07:39.200 --> 00:07:41.200]   outstanding middle school principal of the year
[00:07:41.200 --> 00:07:43.200]   by the Texas Association of Secondary School
[00:07:43.200 --> 00:07:45.200]   Principles for Regional 11.
[00:07:45.200 --> 00:07:48.200]   The award recognizes outstanding school leaders who have
[00:07:48.200 --> 00:07:50.200]   succeeded in providing high quality learning opportunities
[00:07:50.200 --> 00:07:53.200]   for students and is an acknowledgement by peers for
[00:07:53.200 --> 00:07:57.200]   the exemplary contributions they have made to the profession.
[00:07:57.200 --> 00:08:00.200]   Under her leadership, HMS has flourished as a national
[00:08:00.200 --> 00:08:02.200]   model of college and career readiness.
[00:08:02.200 --> 00:08:06.200]   For the second consecutive time, HMS was honored in 2023 as
[00:08:06.200 --> 00:08:09.200]   an advancement, advancement via individual determination
[00:08:09.200 --> 00:08:11.200]   or avid national demonstration school.
[00:08:11.200 --> 00:08:14.200]   Additionally, the school also had more than 60
[00:08:14.200 --> 00:08:17.200]   students participate in the U.I.
[00:08:17.200 --> 00:08:20.200]   Academics competition during the 2023 2024
[00:08:20.200 --> 00:08:23.200]   school year with many returning with medals.
[00:08:23.200 --> 00:08:26.200]   Honorees from each region will be recognized at the
[00:08:26.200 --> 00:08:29.200]   Association's 2025 Summer Workshop.
[00:08:29.200 --> 00:08:32.200]   Region 11 encompasses Cookwise, Denton, Pelopinto,
[00:08:32.200 --> 00:08:35.200]   Parker, Tarrant, Erith Hood, Summerville and Johnson
[00:08:35.200 --> 00:08:36.200]   Counties.
[00:08:36.200 --> 00:08:39.200]   Let's give it up again for our principal Sheila Schimmick.
[00:08:39.200 --> 00:08:44.200]   [APPLAUSE]
[00:08:44.200 --> 00:08:46.200]   Sheila, you have your family here.
[00:08:46.200 --> 00:08:48.200]   Would you like to say a few words?
[00:08:48.200 --> 00:08:52.200]   [INTERPOSING VOICES]
[00:08:52.200 --> 00:08:54.200]   [LAUGHTER]
[00:08:54.200 --> 00:08:56.200]   OK, thank you all.
[00:08:56.200 --> 00:08:59.200]   Your mother loves you, OK?
[00:08:59.200 --> 00:09:03.200]   So Maya has been Mark Schimmick, who is assistant chief of
[00:09:03.200 --> 00:09:04.200]   police.
[00:09:04.200 --> 00:09:06.200]   That's kind of weird to say.
[00:09:06.200 --> 00:09:09.200]   Recently promoted my daughter, Addison Schimmick, who
[00:09:09.200 --> 00:09:11.200]   goes to College of Health and High School about to start
[00:09:11.200 --> 00:09:12.200]   her sophomore year.
