
[00:00:00.000 --> 00:00:10.000]   [BLANK_AUDIO]
[00:00:30.000 --> 00:00:40.000]   [BLANK_AUDIO]
[00:01:00.000 --> 00:01:10.000]   [BLANK_AUDIO]
[00:01:30.000 --> 00:01:40.000]   [BLANK_AUDIO]
[00:02:00.000 --> 00:02:10.000]   [BLANK_AUDIO]
[00:02:30.000 --> 00:02:53.000]   [BLANK_AUDIO]
[00:02:53.000 --> 00:02:54.000]   Good evening.
[00:02:54.000 --> 00:02:57.560]   We will call this regular meeting at the Gray Mine College of LISD Board of Trustees
[00:02:57.560 --> 00:03:03.040]   to order on June 16th at 5.30 P.M. At this time, the Gray Mine College of
[00:03:03.040 --> 00:03:07.400]   LISD Board of Trustees and Central Administration will pause for a moment
[00:03:07.400 --> 00:03:11.320]   of silence to reflect on the continued success of our district, the safety and
[00:03:11.320 --> 00:03:15.520]   well-being of our students, our dedicated teachers, staff, and our supportive community.
[00:03:27.560 --> 00:03:37.560]   [BLANK_AUDIO]
[00:03:37.560 --> 00:03:39.560]   Thank you.
[00:03:39.560 --> 00:03:39.560]   Tonight, thank you all for being here tonight, tonight's the time and place for a board of trustees to conduct the business of the school district.
[00:03:39.560 --> 00:03:42.560]   We ask that all in attendance, give everyone their attention and respect.
[00:03:42.560 --> 00:03:53.560]   This is a specified public comment period for those in attendance to address the board, but we ask that you do not make comments outside of this time period as it disrupts the ability of the board to conduct the business of the district.
[00:03:53.560 --> 00:04:00.560]   If any material needs to be distributed to the board clerk, Stephanie's happened stall, please give that to her.
[00:04:00.560 --> 00:04:09.560]   And if after at least one morning any individual continues to disrupt the meeting, we may request assistance from law enforcement officials to have the individual removed from the meeting.
[00:04:09.560 --> 00:04:13.560]   Thank you again for your participation and cooperation this evening.
[00:04:13.560 --> 00:04:19.560]   Tonight, we are honored to have our UIL Academic State Qualifiers join us for the pledges.
[00:04:19.560 --> 00:04:24.560]   We will proudly represent their program by leading us in the U.S. Pledge, followed by the Texas Pledge.
[00:04:24.560 --> 00:04:29.560]   And after the pledges we will ask these students to please remain here for our first recognition tonight.
[00:04:49.560 --> 00:04:57.560]   >> Ready?
[00:04:57.560 --> 00:04:59.560]   You can.
[00:04:59.560 --> 00:05:00.560]   >> Hi, pleasure.
[00:05:00.560 --> 00:05:05.560]   >> Welcome to the U.S. to the flag of the United States of America.
[00:05:05.560 --> 00:05:13.560]   >> And to the republic, religious hands, one nation, under God, indivisible with liberty and justice for all.
[00:05:13.560 --> 00:05:15.560]   >> And now for the time to come.
[00:05:15.560 --> 00:05:26.560]   >> On to the Texas flag, I will pledge allegiance to the addresses on the state under one indivisible.
[00:05:26.560 --> 00:05:35.560]   >> Thank you, students.
[00:05:35.560 --> 00:05:39.560]   Now I would like to turn the meeting over to Dr. Schnouts for recognitions.
[00:05:39.560 --> 00:05:41.560]   >> Well, good evening, everyone.
[00:05:41.560 --> 00:05:45.560]   In alignment with GCSD's priority, one of student achievement and post-secondary preparedness.
[00:05:45.560 --> 00:05:53.560]   We're excited to recognize student and staff achievements this evening that support the performance objectives of academic growth and development and student involvement.
[00:05:53.560 --> 00:05:59.560]   I'd like to invite trustee Diana Sager to the front to recognize our first group of students this evening.
[00:05:59.560 --> 00:06:04.560]   So tonight as we've already heard from them, it's our UIL Academic Meet State Qualifiers.
[00:06:04.560 --> 00:06:14.560]   We have our GCSD Collegiate Academy in Greatbound High School competed in their respective divisions at the UIL Academic State competition held May 19th through 20th and return with a number of awards.
[00:06:14.560 --> 00:06:25.560]   Collegiate Academy students, Lucie Allen, Benjamin Cap, Sutton, Yeager, and Isbell, Meordi finished in third place as a team in the UIL 3/8, 3/8 current issues and events category.
