
[00:00:00.000 --> 00:00:10.000]   [BLANK_AUDIO]
[00:00:30.000 --> 00:00:40.000]   [BLANK_AUDIO]
[00:01:00.000 --> 00:01:10.000]   [BLANK_AUDIO]
[00:01:30.000 --> 00:01:40.000]   [BLANK_AUDIO]
[00:02:00.000 --> 00:02:10.000]   [BLANK_AUDIO]
[00:02:30.000 --> 00:02:40.000]   [BLANK_AUDIO]
[00:03:00.000 --> 00:03:10.000]   [BLANK_AUDIO]
[00:03:30.000 --> 00:03:40.000]   [BLANK_AUDIO]
[00:04:00.000 --> 00:04:10.000]   [BLANK_AUDIO]
[00:04:30.000 --> 00:04:40.000]   [BLANK_AUDIO]
[00:04:40.000 --> 00:04:50.000]   [BLANK_AUDIO]
[00:04:50.000 --> 00:05:00.000]   [BLANK_AUDIO]
[00:05:00.000 --> 00:05:10.000]   [BLANK_AUDIO]
[00:05:10.000 --> 00:05:20.000]   [BLANK_AUDIO]
[00:05:20.000 --> 00:05:22.000]   [BLANK_AUDIO]
[00:05:22.000 --> 00:05:34.000]   Good evening, we will call this regular meeting of the GCISD Board of Trustees to order on June 17th, 2024 at 5.30 pm, all trustees are present.
[00:05:34.000 --> 00:05:43.000]   At this time, the Great Wine College of Independence School Board of Trustees and Central Administration will pause for a moment of silence, reflect on the continued success of our district.
[00:05:43.000 --> 00:05:48.000]   The safety and well-being of our students are dedicated teachers and staff and are supportive community.
[00:05:48.000 --> 00:05:51.000]   [BLANK_AUDIO]
[00:06:05.000 --> 00:06:13.000]   Thank you. Thank you all for being here tonight. Tonight is the time and place for our Board of Trustees to conduct the business of the school district.
[00:06:13.000 --> 00:06:17.000]   We ask that all in attendance give everyone their attention and respect.
[00:06:17.000 --> 00:06:28.000]   There's a specified public comment period for those in attendance to address the Board, but we ask that you do not make the comments outside of this time period as it disrupts the ability of the Board to conduct the business of the district.
[00:06:28.000 --> 00:06:43.000]   If any materials need to be distributed to the Board, please see the Board clerk Stephanie happened stall. If after at least one morning any individual continues to disrupt the meeting, we may request assistance from law enforcement officials to have the individual removed from the meeting.
[00:06:43.000 --> 00:06:48.000]   Thank you again for your participation in cooperation this evening.
[00:06:48.000 --> 00:06:55.000]   Now we will have the US and Texas pledges tonight, Board Secretary Kathy Spradley will lead the pledges.
[00:06:58.000 --> 00:07:08.000]   [BLANK_AUDIO]
[00:07:08.000 --> 00:07:29.000]   [BLANK_AUDIO]
[00:07:38.000 --> 00:07:47.000]   Thank you, Trustee Spradley. At this time I'd like to turn the meeting over to Superintendent Dr. Bradch, now it's for our recognition.
[00:07:47.000 --> 00:07:55.000]   Good evening everybody and thank you for being here. It's always good and we have a packed house and especially really good to see our students in this summer, so thank you everybody for being here.
[00:07:55.000 --> 00:08:03.000]   So in alignment with GCSD's priority, one is student achievement and post-secondary preparedness and priority two of faculty and staff recruitment, retention and capacity building.
[00:08:03.000 --> 00:08:19.000]   We're excited to recognize three different state-level achievements. By the students and staff accomplishments it is evident that the work in GCSD supports the performance objectives of academic growth and development, college career, military readiness, and student involvement as well as employer retention and employee satisfaction.
[00:08:19.000 --> 00:08:26.000]   At this time I'd like to invite Vice President Mary Humphrey to the front for our first recognition this evening.
[00:08:26.000 --> 00:08:40.000]   And tonight we get to celebrate our UIL 5A tennis girls double state champions. So congratulations to great-bound high school students, Amelia and Sarah Yorge on their victory in the UIL 5A girls double state championship.
[00:08:40.000 --> 00:08:48.000]   You all have the coolest last name by the way, so I can't say it very well but it is the coolest last name. So yeah, go ahead and go ahead.
[00:08:48.000 --> 00:08:59.000]   Alright, the sisters faced off against the duo from Frisco Wakeland and defeated them in two sets to claim the state title, winning the first set 6-4 and the second 6-3.
