
[00:00:00.000 --> 00:00:10.000]   [BLANK_AUDIO]
[00:00:30.000 --> 00:00:40.000]   [BLANK_AUDIO]
[00:01:00.000 --> 00:01:10.000]   [BLANK_AUDIO]
[00:01:30.000 --> 00:01:40.000]   [BLANK_AUDIO]
[00:02:00.000 --> 00:02:10.000]   [BLANK_AUDIO]
[00:02:30.000 --> 00:02:40.000]   [BLANK_AUDIO]
[00:03:00.000 --> 00:03:10.000]   [BLANK_AUDIO]
[00:03:30.000 --> 00:03:40.000]   [BLANK_AUDIO]
[00:03:40.000 --> 00:03:50.000]   [BLANK_AUDIO]
[00:03:50.000 --> 00:04:00.000]   [BLANK_AUDIO]
[00:04:20.000 --> 00:04:30.000]   [BLANK_AUDIO]
[00:04:30.000 --> 00:04:40.000]   [BLANK_AUDIO]
[00:05:00.000 --> 00:05:10.000]   [BLANK_AUDIO]
[00:05:10.000 --> 00:05:20.000]   [BLANK_AUDIO]
[00:05:20.000 --> 00:05:30.000]   [BLANK_AUDIO]
[00:05:50.000 --> 00:06:00.000]   [BLANK_AUDIO]
[00:06:00.000 --> 00:06:00.000]   [BLANK_AUDIO]
[00:06:00.000 --> 00:06:04.000]   The first item on the agenda is public comment, trusty Spradley, do we have any speakers?
[00:06:04.000 --> 00:06:07.000]   [BLANK_AUDIO]
[00:06:07.000 --> 00:06:10.000]   Next item is the public hearing, Dr. Snoutz.
[00:06:10.000 --> 00:06:16.000]   Yes, so we have two public hearings this evening, the first is to discuss the proposed 2324 budget and the tax rate.
[00:06:16.000 --> 00:06:19.000]   State law requires the president of the Board of Trustees to call a public meeting of the board,
[00:06:19.000 --> 00:06:24.000]   giving at least 10 and no more than 30 days public notice in a newspaper for the adoption of the district budget.
[00:06:24.000 --> 00:06:33.000]   This requirement ensures transparency and allows for the active involvement of any taxpayer within the district who's entitled to be present and participate in the meeting.
[00:06:33.000 --> 00:06:36.000]   And now I'll turn it over to our CFO, Derek Sibley.
[00:06:36.000 --> 00:07:01.000]   [BLANK_AUDIO]
[00:07:01.000 --> 00:07:17.000]   Good evening, I'd like to just visit with you about the proposed budget for 2324 school year.
[00:07:17.000 --> 00:07:24.000]   Once again, going back to some major assumptions that we have put into the budget.
[00:07:24.000 --> 00:07:34.000]   One is that the board adopts the fifth golden penny.
[00:07:34.000 --> 00:07:38.000]   As you all all know, the district already has four golden pennies that we can obtain or that we have attained.
[00:07:38.000 --> 00:07:43.000]   The fifth golden penny is obtainable through a majority vote of the board.
[00:07:43.000 --> 00:07:53.000]   And so all the assumptions in here, all the estimates are based on the board voting on the approval of that fourth, or excuse me, fifth golden penny.
[00:07:53.000 --> 00:08:03.000]   Of course, we're not voting on tax rate tonight, that will be in August of September, but this is built into these assumptions.
[00:08:03.000 --> 00:08:22.000]   Also, as far as enrollment goes, the major assumptions are first of all that the traditional enrollment is 12,218, which is actually a little bit less than what we had on May 25th, this year, the last day of school.
[00:08:22.000 --> 00:08:36.000]   And then the IU University prep enrollment is estimated at 1,400, which is about a 200 increase from where we are, or where we were at last year.
[00:08:36.000 --> 00:08:42.000]   And it is all based on a 95.5% attendance rate throughout the year.
[00:08:42.000 --> 00:09:06.000]   So moving forward, looking at property values that we received from Tarrant County and Dallas County, looking at the 2022 certified values, these are the values that would have been released in end of July of last year, versus the 2023 estimated values, these are the values that were released at the beginning of June, this year.
[00:09:06.000 --> 00:09:16.000]   Overall, you can see that there's an increase of about 2.2, or excuse me, 2.4 billion dollars in property value from last year to this year.
[00:09:16.000 --> 00:09:33.000]   We do have our certified values that will be released to us at the end of July, actually July 25th is when they're supposed to be released, and those are the values that we will take with us going forward as far as setting our tax rate.
