
[00:00:00.000 --> 00:00:10.000]   [BLANK_AUDIO]
[00:00:30.000 --> 00:00:40.000]   [BLANK_AUDIO]
[00:01:00.000 --> 00:01:10.000]   [BLANK_AUDIO]
[00:01:10.000 --> 00:01:18.000]   We are now calling to order the special meeting of the Board of Trustees
[00:01:18.000 --> 00:01:23.000]   for GCISD on October 14, 2024.
[00:01:23.000 --> 00:01:28.000]   Our first item is Public Comment Trustee Spratley, do we have speakers?
[00:01:28.000 --> 00:01:30.240]   Yes, we have five speakers.
[00:01:30.240 --> 00:01:33.320]   Next one, the agenda is the public comment period of our board meeting.
[00:01:33.320 --> 00:01:37.960]   Individuals wishing to participate must complete the request to speak form online and
[00:01:37.960 --> 00:01:41.040]   submit it one and a half hours prior to the meeting beginning.
[00:01:41.040 --> 00:01:47.840]   This is a special meeting of the Board, those signed up to speak my only comment on the items listed on the tonight's meeting agenda.
[00:01:47.840 --> 00:01:50.200]   The Board has allotted 30 minutes for public comment, but
[00:01:50.200 --> 00:01:55.280]   the time may be adjusted at the Board President's discretion to allow for the orderly conduct of the meeting.
[00:01:55.280 --> 00:01:59.300]   Tonight, we have five speakers, so each speaker will get three minutes.
[00:01:59.300 --> 00:02:05.560]   If groups was to speak on the same topic, the Board may ask that a spokesperson be appointed to speak for the group.
[00:02:05.560 --> 00:02:09.600]   Please keep in mind that public comment is not the formed for presenting grievances.
[00:02:09.600 --> 00:02:14.120]   If you have specific allegations pertaining to a GCISD employee or other GCISD matter,
[00:02:14.120 --> 00:02:20.320]   please use the applicable grievance process found in Board policies, DGBA, FNG, or GF.
[00:02:20.320 --> 00:02:23.480]   Please remember to direct your comments to the Board as a whole.
[00:02:23.480 --> 00:02:27.560]   Board members may not answer your questions or address your concerns during public comment.
[00:02:27.560 --> 00:02:30.880]   We will call persons to speak in order to receive their forms.
[00:02:30.880 --> 00:02:35.080]   Our first speaker is Scott White, please step to the microphone and state we're the resident of GCISD.
[00:02:35.080 --> 00:02:46.720]   >> Hello, I am not a resident, although I'm a resident of grapevine, so up in that area.
[00:02:46.720 --> 00:02:48.720]   So by the way, I'm excited to be here today.
[00:02:48.720 --> 00:02:56.680]   Thank you for your tireless efforts in finding solutions for our students and their families in our community.
[00:02:56.680 --> 00:03:04.200]   So my name is Scott White, and I am running to represent you in District 98, the Texas House of Representatives.
[00:03:04.200 --> 00:03:08.520]   And if I was elected, I would be happy to work with this Board to achieve our shared objectives.
[00:03:08.520 --> 00:03:21.880]   The critical goal is to inflation adjust the basic allotment to $7,300 so that GCISD may keep about 18 million of your $35 million recapture payment.
[00:03:21.880 --> 00:03:25.840]   This would significantly boost funding without raising any taxes.
[00:03:25.840 --> 00:03:34.000]   And as you know, only enrolled students are funded, so the phrase "money follows the student" is extraordinarily misleading.
[00:03:34.000 --> 00:03:40.480]   So school vouchers are a government incentive program for parents to send students to private schools.
[00:03:40.480 --> 00:03:51.440]   So an $8,000 incentive would likely trigger a 5% reduction of GCISD's enrolled students, resulting in the need to close a campus or more.
[00:03:51.440 --> 00:03:58.640]   So why would we pay for our public schools and then incent our families not to attend our public schools?
[00:03:58.640 --> 00:04:03.120]   So it's simple in my mind, public dollars or for public schools.
[00:04:03.120 --> 00:04:10.160]   In my opinion, our current state-wrapped Giovanni Capricleone no longer effectively advocates for our community.
[00:04:10.160 --> 00:04:19.400]   He has already voted twice for vouchers, he has been in office for 12 years, and he is overwhelmingly funded by Pax.
[00:04:19.400 --> 00:04:26.880]   He has received $125 from three district residents in the last reporting cycle.
[00:04:26.880 --> 00:04:32.640]   He has received 10 donations for giving to him for this entire year.
[00:04:32.640 --> 00:04:36.480]   So outside interest, clearly control his vote.
