
[00:00:00.000 --> 00:00:10.000]   [BLANK_AUDIO]
[00:00:30.000 --> 00:00:53.000]   [BLANK_AUDIO]
[00:01:00.000 --> 00:01:10.000]   [BLANK_AUDIO]
[00:01:30.000 --> 00:01:40.000]   [BLANK_AUDIO]
[00:02:00.000 --> 00:02:27.000]   [BLANK_AUDIO]
[00:02:27.000 --> 00:02:34.000]   OK, I think we're back online. We're going to regain back the meeting, I'm sorry.
[00:02:34.000 --> 00:02:37.000]   [BLANK_AUDIO]
[00:02:37.000 --> 00:02:44.000]   So next up is our Municipal Minute. We have Joey Arganbright. She's the president of the GCC Council of PTA.
[00:02:44.000 --> 00:02:52.000]   [BLANK_AUDIO]
[00:02:52.000 --> 00:02:58.000]   Hi trustees and Dr. Schnows. My name is Joey Arganbright and I am a current president of the GCC Council of PTA.
[00:02:58.000 --> 00:03:06.000]   Thank you for the opportunity to speak to you all tonight about the wonderful work being done around the district by our council and our local PTA's.
[00:03:06.000 --> 00:03:15.000]   Our council theme for the year is get connected and we have been working hard to create and foster real relationships that span across our schools,
[00:03:15.000 --> 00:03:25.000]   theater patterns, and cities. Council is proud to work with our 18 local PTA's and serve as liaison and support system for both the district and our local units.
[00:03:25.000 --> 00:03:36.000]   And in case anybody needs a reminder, this is our PTA mission to make every child's potential a reality by engaging and empowering families and communities to advocate for all children.
[00:03:36.000 --> 00:03:44.000]   Let's talk to you for this year. Speaking of our local leaders, if there's any local PTA leaders or council officers in our move, you stand up and wave real quick.
[00:03:44.000 --> 00:03:48.000]   [BLANK_AUDIO]
[00:03:48.000 --> 00:03:54.000]   And today, back we have Amber from Silver Lake and Jackie from Colleville Elementary. And then the middle here, we have Patty from Dove.
[00:03:54.000 --> 00:04:01.000]   And these are my three wonderful officers that could make it this time and Lindsay Hill, Christine Weathers, and Michael Wesson.
[00:04:01.000 --> 00:04:04.000]   So thank you all for your dedication to our kids.
[00:04:04.000 --> 00:04:09.000]   A quick recap of our year so far, I promise it's quick.
[00:04:09.000 --> 00:04:15.000]   Back in June, Council hosts our district appreciation luncheon for our nutrition facilities and admin teams.
[00:04:15.000 --> 00:04:21.000]   Special thanks to Dana Holland, Melissa Johnson, and all of our amazing volunteers that made our luncheon a great success.
[00:04:21.000 --> 00:04:27.000]   As soon as we wrapped up our luncheon, Council went straight into planning mode for our summer training session.
[00:04:27.000 --> 00:04:32.000]   We had over 45 PTA leaders join us for sessions led by district and council leaders.
[00:04:32.000 --> 00:04:40.000]   We rounded out June with summer planning sessions for all of our local presidents, proving once again that PTA does not take summers off.
[00:04:40.000 --> 00:04:50.000]   In July, leaders took OQTA leaders took over the Hilton Anatol in Dallas for three days of learning leadership and fellowship at the Texas PTA Leadership Conference launch.
[00:04:50.000 --> 00:04:57.000]   I'm proud to announce that several of our local units received top awards and were recognized on stage for their hard work and efforts.
[00:04:57.000 --> 00:05:09.000]   We had four campuses when they voiced for every child platinum award, which means they had one PTA member for every single student on campus, which is amazingly hard to do and not everybody can do it.
[00:05:09.000 --> 00:05:19.000]   But our four campuses this year, last year, were a Bransford Elementary, PTA, Great Vinyl Elementary, PTA, Heritage Elementary, PTA, and Collieville Middle, PTA.
[00:05:19.000 --> 00:05:25.000]   Collieville Middle, PTA also came away with an extra trophy for an outstanding healthy life set award.
[00:05:25.000 --> 00:05:29.000]   That was pretty awesome. Yes, yes, in the crowd.
[00:05:29.000 --> 00:05:37.000]   Council was also recognized on stage for our two awards, the outstanding council platinum and voice for every child sober.
[00:05:37.000 --> 00:05:41.000]   In August, we kicked off our new PTA membership year.
[00:05:41.000 --> 00:05:49.000]   We brought back community PTA memberships, allowing community members and parents the option to join several local PTA's in one transaction.
[00:05:49.000 --> 00:05:55.000]   Thank you to all of our trustees and Dr. Schnout for joining our local PTA's as community members.
[00:05:55.000 --> 00:06:03.000]   Once again, I'm proud to announce that Council has already won two awards for our membership efforts of the year, council on the move, and fall community builder.
[00:06:03.000 --> 00:06:10.000]   Thanks to our hardworking VP of membership Ashley Beale, we are well on our way to earning the Council Golden Apple Award.
[00:06:10.000 --> 00:06:18.000]   September was a flurry of activity as our locals hosted their annual back-to-school events, launch membership drives and general meetings.
[00:06:18.000 --> 00:06:28.000]   Thank you to all of our trustees for making yourselves available at our FAQ sessions to answer any questions our PTA members had about future plans for the district.
[00:06:28.000 --> 00:06:34.000]   We appreciate you taking time out of your busy schedules and on such short notice for to engage with our community.
[00:06:34.000 --> 00:06:40.000]   These conversations and face-to-face connections are important building blocks for a strong and engaged community.
[00:06:40.000 --> 00:06:50.000]   Council hosted our first general meeting of the year at our presidents and principals breakfast, special things to our VP of delegates, Brandy Moravek, and all of our council delegates for their amazing table decorations.
[00:06:50.000 --> 00:06:58.000]   Thank you for participating in our PTA pop quiz. I hope everyone learned a few things about other PTA's around our district.
[00:06:58.000 --> 00:07:01.000]   Also in September is such a busy month, guys.
[00:07:01.000 --> 00:07:14.000]   Our council formal wear closet chief boutique opened up for homecoming season and our super volunteers Jenny Royal and Kyra Lowe were excited to serve over 100 GCIC students over the course of five weeks.
[00:07:14.000 --> 00:07:20.000]   Thank you to our community donors for helping us add a third dressing room and expanding our selection of formal wear.
[00:07:20.000 --> 00:07:32.000]   She will reopen for the spring formal season, so keep an eye out for shopping dates and volunteer opportunities. Lastly, for September our district-wide arts and reflections program kicked off with the theme I belong.
[00:07:32.000 --> 00:07:38.000]   We are really excited to see all the amazing artwork that our kids come up with and submit them to the state level.
[00:07:38.000 --> 00:08:02.000]   As we wrap up October, we are sitting at 7673 GCIC PTA members. Our PTA has successfully navigated the start of school, their first general meetings hosted family engagement events like picnics, wall carnivals and festivals, fundraised thousands of dollars, hosted community Q&A forums, built relationships with each other, and their school board liaison.
[00:08:02.000 --> 00:08:12.000]   Our volunteer chair Rachel Cannifaks reports that PTA's have logged over 14,763 volunteer hours and we all know that number is definitely under-reported.
[00:08:12.000 --> 00:08:18.000]   Our PTA community is engaged and dedicating to serving our GCIC students and staff.
[00:08:18.000 --> 00:08:26.000]   As we look towards the holiday season, our community service chair Katie Faust has outlined two district-wide holiday-giving opportunities for our community.
[00:08:26.000 --> 00:08:34.000]   Our November Thanksgiving dinner donation drive, visit in Grace will run from Tuesday November 3rd until Friday November 21st.
[00:08:34.000 --> 00:08:42.000]   Special shout-out to Lee McDowell, a wonderful dad's club leader for coordinating the turkey drop-offs with all of our local dad's clubs.
[00:08:42.000 --> 00:08:48.000]   Our PTA's will be collecting other Thanksgiving items and we will deliver as a group to Grace on Friday November 21st.
[00:08:48.000 --> 00:08:52.000]   People look out for a special specific details from your campus coming soon.
[00:08:52.000 --> 00:09:00.000]   Our December donation drive will focus on items for the Grace Christmas cottage and Katie will be sure to send out more information as we get closer.
[00:09:00.000 --> 00:09:03.000]   Looking forward to Spring Council has several plans and development.
[00:09:03.000 --> 00:09:07.000]   We will be opening up our Council Awards at our November holiday luncheon.
[00:09:07.000 --> 00:09:12.000]   The Council Scholarship application opens up in December and will close at the end of February.
[00:09:12.000 --> 00:09:16.000]   We will also be hosting a straight-talk watch party for our community in February.
[00:09:16.000 --> 00:09:23.000]   Straight-talk is a Texas PTA's bi-annual forum on matters that matter to Texas families.
[00:09:23.000 --> 00:09:30.000]   This livestream event features expert panelists and special guests including students, educators, and health professionals who explore timely,
[00:09:30.000 --> 00:09:35.000]   shaping, who explore timely topics shaping the lives of Texas children.
[00:09:35.000 --> 00:09:40.000]   February will continue to be a busy month as Council will host both of our Founders Day Breakfast,
[00:09:40.000 --> 00:09:44.000]   where we will celebrate our PTA leaders and Council award winners.
[00:09:44.000 --> 00:09:50.000]   Lastly, I just want to say that I'm really proud of the relationships that we have built over the last few months.
[00:09:50.000 --> 00:09:56.000]   Our local leaders have been sharing ideas, encouragement, resources, and yes, even hardships and tears.
